class,ANN_AAC,RF_AAC,KNN_AAC,ERT_AAC,XGB_AAC,ANN_DPC,RF_DPC,KNN_DPC,ERT_DPC,XGB_DPC,ANN_CKSAAGP,RF_CKSAAGP,KNN_CKSAAGP,ERT_CKSAAGP,XGB_CKSAAGP,ANN_PAAC,RF_PAAC,KNN_PAAC,ERT_PAAC,XGB_PAAC,ANN_PHYC,RF_PHYC,KNN_PHYC,ERT_PHYC,XGB_PHYC
1,0.9839582081233847,0.83,1.0,0.81,0.9942558407783508,0.9996010226156292,0.94,1.0,0.97,0.9978094696998596,0.5991220687830905,0.84,1.0,0.97,0.9940950870513916,0.9895509485369862,0.78,1.0,0.92,0.9882174134254456,0.48037872395982056,0.8,0.6,0.94,0.9728698134422302
1,0.016859060187001767,0.68,0.6,0.67,0.844496488571167,0.7764921573310545,0.57,1.0,0.71,0.8860856890678406,0.2285368665899095,0.5,0.8,0.55,0.13721153140068054,0.7718661188350334,0.59,0.8,0.65,0.7326186299324036,0.34627147197776936,0.37,0.6,0.45,0.1495625376701355
1,0.9945192897749923,0.76,1.0,0.8,0.8614365458488464,0.9961974972326738,0.7,1.0,0.76,0.861409068107605,0.5996852988114673,0.77,0.6,0.73,0.98115473985672,0.9049434954607228,0.73,1.0,0.77,0.9077416658401489,0.5393535899941864,0.57,0.2,0.67,0.4610019028186798
1,0.9906845795797864,0.81,0.8,0.88,0.9950161576271057,0.9951095215684137,0.73,1.0,0.83,0.9962854385375977,0.5968301020021463,0.87,1.0,0.84,0.9983574748039246,0.9964714703397713,0.83,0.8,0.89,0.9867886304855347,0.5016488872405743,0.74,0.6,0.64,0.7866699695587158
1,0.30859409740633886,0.5,0.8,0.66,0.5855298042297363,0.9477203360028966,0.6,1.0,0.61,0.766282320022583,0.42570483309581175,0.64,1.0,0.66,0.9704472422599792,0.6368955885079791,0.59,1.0,0.69,0.8499430418014526,0.39071865836833086,0.4,0.8,0.42,0.18444915115833282
1,0.7860534466028716,0.54,1.0,0.66,0.9702538251876831,0.5026203789694816,0.71,1.0,0.68,0.47564783692359924,0.418926065212208,0.62,1.0,0.69,0.8601824045181274,0.9759077079643059,0.68,1.0,0.68,0.9493781924247742,0.3763193559623659,0.54,0.2,0.64,0.25305116176605225
1,0.8289898488269766,0.83,0.8,0.94,0.9831457138061523,0.9981067554313661,0.82,1.0,0.95,0.9501656889915466,0.29687051683564436,0.69,0.8,0.92,0.9790984392166138,0.610649244509168,0.67,0.6,0.85,0.8052226305007935,0.27858834640113206,0.52,1.0,0.68,0.34832507371902466
1,0.9503769950772706,0.84,1.0,0.98,0.9882446527481079,0.998497450809064,0.87,1.0,0.97,0.9045607447624207,0.3972703091569069,0.74,1.0,0.94,0.983039915561676,0.8385604381445086,0.7,1.0,0.95,0.9860397577285767,0.4881794310632703,0.67,0.8,0.75,0.9236602187156677
1,0.949308979080902,0.77,1.0,0.7,0.9964951872825623,0.9609592404227457,0.66,1.0,0.62,0.8804428577423096,0.6113290073189676,0.78,1.0,0.77,0.960608720779419,0.9544625751366378,0.77,0.8,0.57,0.8898195028305054,0.5751724208176362,0.3,0.4,0.33,0.07038602977991104
1,0.9661785375501739,0.57,0.4,0.71,0.908026933670044,0.9962297436032975,0.8,1.0,0.79,0.9956217408180237,0.7348987394712254,0.73,0.8,0.68,0.9789003133773804,0.9419276041147318,0.77,0.8,0.8,0.9713662266731262,0.5106210735028331,0.75,0.6,0.69,0.9744197130203247
1,0.6282266119715416,0.76,1.0,0.73,0.9525635242462158,0.5936862901368615,0.77,1.0,0.69,0.9545790553092957,0.20766142670004992,0.39,1.0,0.55,0.7838895320892334,0.877117324846831,0.7,1.0,0.78,0.9169568419456482,0.6504234242774638,0.82,0.6,0.79,0.9974191188812256
1,0.9951034889065082,0.66,1.0,0.71,0.9797124862670898,0.8858533560148198,0.48,1.0,0.63,0.7506304979324341,0.5146808627133791,0.6,0.8,0.66,0.8542701005935669,0.9932063730688501,0.76,1.0,0.66,0.9914040565490723,0.2163072196714461,0.26,0.2,0.37,0.3063216805458069
1,0.18527907766420115,0.39,0.6,0.53,0.07244149595499039,0.9686293214888522,0.74,1.0,0.74,0.9770367741584778,0.17810901730312848,0.59,1.0,0.58,0.6334472298622131,0.7891355470041987,0.63,1.0,0.55,0.27909544110298157,0.38668793864489365,0.28,0.2,0.37,0.15978358685970306
1,0.6757450066476206,0.3,0.4,0.48,0.1076117753982544,0.06793943804045453,0.49,1.0,0.52,0.42404574155807495,0.529405878267379,0.59,1.0,0.67,0.6786313652992249,0.8407135199679577,0.59,1.0,0.76,0.854525089263916,0.8090330356287805,0.85,0.6,0.85,0.995000422000885
1,0.26644440629292415,0.49,0.6,0.44,0.17849305272102356,0.8385597629491633,0.67,1.0,0.74,0.9822906851768494,0.4449255869456233,0.76,0.6,0.73,0.9737434387207031,0.7920049094500419,0.53,0.6,0.56,0.9871455430984497,0.6000620681590477,0.87,1.0,0.78,0.9941165447235107
1,0.9992431251326188,0.81,1.0,0.72,0.9993663430213928,0.9975900788590234,0.83,1.0,0.79,0.9527007341384888,0.5435973204641301,0.61,1.0,0.54,0.835931122303009,0.9999920217458087,0.83,1.0,0.87,0.9978519678115845,0.4934788432605532,0.74,0.4,0.79,0.9720736742019653
1,0.9960883248332476,0.58,0.8,0.58,0.835045576095581,0.8289728466320418,0.83,1.0,0.7,0.9718713164329529,0.5868818625519923,0.55,0.8,0.62,0.815514087677002,0.9557996627420721,0.65,1.0,0.75,0.9910016655921936,0.5839248237537294,0.57,0.8,0.54,0.813859224319458
1,0.430968497452626,0.49,0.8,0.52,0.7893908619880676,0.8060388854910485,0.74,1.0,0.67,0.9776622653007507,0.33020786657452655,0.51,1.0,0.72,0.9688553214073181,0.971026163203224,0.72,0.8,0.65,0.9575685858726501,0.707266966647442,0.67,0.8,0.74,0.9344738125801086
1,0.9780801350682901,0.57,1.0,0.69,0.9007662534713745,0.9323399197671226,0.83,1.0,0.77,0.9827265739440918,0.34529559471372434,0.52,0.6,0.63,0.9766507744789124,0.9948074071299297,0.73,1.0,0.72,0.8245846033096313,0.4535898030648363,0.76,0.6,0.84,0.9836169481277466
1,0.06771613889673853,0.37,0.6,0.4,0.14015263319015503,0.36833660813743163,0.72,1.0,0.73,0.9247481822967529,0.387961071536892,0.73,1.0,0.8,0.9438987970352173,0.2829008679486054,0.57,0.8,0.63,0.4592077136039734,0.4045179651527459,0.2,0.0,0.3,0.37217167019844055
