class,ANN_AAC,RF_AAC,KNN_AAC,ERT_AAC,XGB_AAC,ANN_DPC,RF_DPC,KNN_DPC,ERT_DPC,XGB_DPC,ANN_CKSAAGP,RF_CKSAAGP,KNN_CKSAAGP,ERT_CKSAAGP,XGB_CKSAAGP,ANN_PAAC,RF_PAAC,KNN_PAAC,ERT_PAAC,XGB_PAAC,ANN_PHYC,RF_PHYC,KNN_PHYC,ERT_PHYC,XGB_PHYC
1,0.06561794520732483,0.21,1.0,0.3,0.0019425961654633284,0.005763175360174719,0.41,0.6,0.4,0.7027475833892822,0.08283819739632096,0.4,0.0,0.34,0.7305537462234497,0.18161924699081816,0.28,0.8,0.34,0.005348773207515478,0.4676172710829459,0.31,0.8,0.27,0.4683627784252167
1,0.08680523503388388,0.35,0.0,0.21,0.009037579409778118,9.887850831714479e-05,0.25,0.0,0.17,0.03484320640563965,0.09374901465534236,0.31,0.0,0.29,0.06687258183956146,0.1776445387513986,0.46,0.2,0.35,0.24480609595775604,0.1893383808890262,0.14,0.2,0.09,0.0030954075045883656
1,0.10014632646110576,0.33,0.2,0.32,0.216471329331398,0.00037763246064125266,0.34,0.2,0.22,0.05072023719549179,0.030177074276741257,0.16,0.0,0.18,0.0037955446168780327,0.23311278570631694,0.24,0.2,0.37,0.0041687991470098495,0.25850885758189046,0.12,0.2,0.14,0.017813630402088165
1,0.8394333759944413,0.39,0.6,0.49,0.07314594089984894,0.7242760133117216,0.43,0.4,0.39,0.7685233950614929,0.4686129724503985,0.33,0.0,0.3,0.03380069509148598,0.677272020858087,0.46,1.0,0.53,0.17641772329807281,0.22142766047326845,0.32,0.6,0.32,0.0030849575996398926
1,0.0011470131133469715,0.18,0.0,0.19,0.006720760837197304,0.0069994431689794955,0.13,0.4,0.16,0.0014242918696254492,0.16098658145573796,0.12,0.0,0.16,0.0013684441801160574,0.06956852748558683,0.25,0.0,0.29,0.003985185641795397,0.17917543276357878,0.18,0.2,0.23,0.007315319497138262
1,0.9711953782606539,0.52,0.6,0.43,0.5983259081840515,0.6432480773735427,0.44,0.2,0.37,0.027491731569170952,0.2601742330803003,0.52,0.6,0.41,0.6553582549095154,0.870786683385403,0.32,0.4,0.39,0.08952193707227707,0.4483167549411448,0.34,0.4,0.54,0.13432951271533966
1,0.6396005695745967,0.36,0.2,0.41,0.568035364151001,0.004072082796787232,0.34,1.0,0.28,0.09241015464067459,0.4651241630278452,0.47,0.4,0.58,0.5837610960006714,0.49851397108703793,0.27,0.4,0.38,0.08441507071256638,0.44212581017934505,0.8,0.2,0.76,0.14722639322280884
1,0.0600512870201656,0.29,0.2,0.23,0.1048225611448288,0.0005421838392825417,0.27,0.6,0.22,0.13208584487438202,0.06162574920421243,0.19,0.2,0.2,0.011897385120391846,0.16090717834072352,0.24,0.8,0.27,0.05723213404417038,0.19552566246598102,0.11,0.4,0.18,0.0018437216058373451
1,0.8926034365856251,0.37,0.4,0.41,0.5207833051681519,0.017893611870109655,0.27,0.2,0.3,0.0092979297041893,0.07971002184550978,0.1,0.0,0.2,0.00046694462071172893,0.4964047816193723,0.37,0.6,0.4,0.29202333092689514,0.2435477928204872,0.31,0.0,0.32,0.06587892025709152
1,0.002410091678739563,0.2,0.0,0.34,0.005945475306361914,0.02549968672060897,0.25,0.4,0.15,0.01755656488239765,0.17058900478063146,0.13,0.0,0.26,0.08943381160497665,0.0021319755162577114,0.21,0.0,0.21,0.015108723193407059,0.09096226411686767,0.32,0.2,0.32,0.8407361507415771
